Date,Open,High,Low,Close,Volume,OpenInt
20121213,9.25,12.7,9.2,11.79,8305862,0
20121214,13,13,11.52,11.72,1686501,0
20121217,12.54,12.54,11.75,12.33,585135,0
20121218,12.5,12.96,11.41,11.59,790360,0
20121219,11.45,11.78,11,11.22,666379,0
20121220,11.54,11.54,10.45,10.67,619229,0
20121221,10.36,10.926,10.11,10.73,359810,0
20121224,11,11.05,10.76,10.84,120745,0
20121226,11.01,11.25,10.82,11.04,225188,0
20121227,11.2,11.49,11.01,11.29,255007,0
20121228,11.39,11.69,11.3,11.57,151556,0
20121231,11.62,12.1,11.62,11.93,205690,0
20130102,12.98,12.98,11.95,12.33,504920,0
20130103,12.44,13.45,12.15,13.02,636071,0
20130104,13.71,15.2,13.5,14.4,1464266,0
20130107,15.6,16.4,15.15,15.97,1995574,0
20130108,16.74,16.94,14.38,14.73,1471937,0
20130109,15.04,16.23,15,15.65,965458,0
20130110,16.02,16.35,14.88,15.76,594015,0
20130111,15.8,16.06,15.01,15.5,297430,0
20130114,15.45,15.47,14.41,14.59,612787,0
20130115,14.55,14.55,13.34,13.72,740525,0
20130116,13.6,14.33,13.11,13.98,620640,0
20130117,14.75,15.36,14.2,15.21,659294,0
20130118,15.45,16.25,15.22,15.92,937371,0
20130122,16.25,16.45,15.45,16.034,630721,0
20130123,16.1,16.21,15.55,15.8,293000,0
20130124,15.72,16.4,15.5,16.01,375238,0
20130125,15.9,15.95,15.21,15.49,649671,0
20130128,15.45,15.9,15.45,15.63,287505,0
20130129,15.69,15.88,14.67,15.04,326472,0
20130130,15.02,15.02,14.18,14.6,437384,0
20130131,14.53,14.8,14.15,14.62,266112,0
20130201,14.78,15.5,14.76,15.17,351719,0
20130204,15.03,15.479,14.65,14.72,238533,0
20130205,14.9,15.2,14.7,15.09,283419,0
20130206,15.44,16.25,15.05,15.3,666223,0
20130207,15.69,15.69,15.25,15.48,166054,0
20130208,15.75,15.8,15.08,15.13,263276,0
20130211,15.12,16.73,15.12,16.67,815915,0
20130212,17.27,18.32,17.24,18.18,1643822,0
20130213,19,19.58,17.45,17.64,1065303,0
20130214,17.7,18.8,17.44,18.43,710642,0
20130215,18.855,18.875,17.6,17.77,366143,0
20130219,17.75,18.85,17.61,18.51,742142,0
20130220,19.6,20.38,18.52,18.84,1588146,0
20130221,18.71,19.19,17.3,19.07,826265,0
20130222,19.77,19.77,18.66,18.9,380054,0
20130225,19.2,19.25,18.41,18.54,352545,0
20130226,18.53,18.53,16.83,17.4,641794,0
20130227,17,17.44,15.89,17.3,1004135,0
20130228,17.5,18.45,17.25,18.11,555100,0
20130301,17.97,18.2,17.3,18.16,226768,0
20130304,18.26,18.49,17.8,18.23,292825,0
20130305,18.46,18.97,18.23,18.55,482908,0
20130306,18.8,19.75,18.6,19.27,874308,0
20130307,17.7,18.15,15.88,16.49,2691813,0
20130308,16.55,16.84,16.2,16.31,646820,0
20130311,16.63,17.08,16.32,16.94,563556,0
20130312,17.02,17.25,16.69,16.74,405969,0
20130313,16.83,16.99,16.51,16.9,289800,0
20130314,16.95,17.04,16.18,16.6,488614,0
20130315,16.55,16.8,16.3,16.74,539474,0
20130318,16.64,16.94,16.45,16.94,336730,0
20130319,16.91,17.299,16.83,17.04,298868,0
20130320,17.12,17.5,17.12,17.43,339772,0
20130321,17.55,17.87,17.27,17.59,333832,0
20130322,17.7,18.23,17.7,18.19,362959,0
20130325,18.43,18.75,18.25,18.54,361229,0
20130326,18.78,20.29,18.58,18.89,1393777,0
20130327,18.85,19.49,18.56,18.9,794442,0
20130328,18.93,19.14,18,18.88,2306803,0
20130401,18.91,19.57,18.77,19.36,688348,0
20130402,19.53,19.7,19.04,19.05,356386,0
20130403,19.16,19.26,18.76,18.99,430544,0
20130404,19.05,19.05,18.11,18.35,303468,0
20130405,18.19,18.65,18,18.23,211514,0
20130408,18.54,19,18.451,18.97,260966,0
20130409,19.01,20.5,18.65,20.14,1355538,0
20130410,20.25,21.4,19.75,20.46,1177626,0
20130411,20.5,20.95,20.2,20.38,302647,0
20130412,20.155,20.43,19.296,19.97,461056,0
